cell_id,theta_skew_deg,z,regime
4333,79.061,2.150,low
4334,83.255,2.042,low
4335,84.644,2.008,low
4336,76.472,2.223,low
4337,89.505,1.899,low
4338,81.197,2.094,low
4339,73.997,2.297,low
4340,76.472,2.223,low
4341,85.504,1.988,low
4342,85.504,1.988,low
4343,85.351,1.992,low
4344,85.351,1.992,low
4345,75.336,2.257,low
4346,65.497,2.596,low
4347,83.459,2.037,low
4348,86.145,1.973,low
4349,83.459,2.037,low
4350,73.293,2.319,low
4351,85.483,1.989,low
4352,89.501,1.899,low
4353,75.771,2.244,low
4354,83.555,2.035,low
4355,83.555,2.035,low
4356,88.018,1.931,low
4357,88.018,1.931,low
4358,85.458,1.989,low
4359,73.088,2.326,low
4360,87.461,1.944,low
4361,87.938,1.933,low
4362,88.756,1.915,low
4363,89.974,1.889,low
4364,89.624,1.897,low
4365,89.624,1.897,low
4366,78.815,2.157,low
4367,87.254,1.948,low
4368,88.084,1.930,low
4369,88.084,1.930,low
4370,86.742,1.960,low
4371,70.833,2.400,low
4372,89.808,1.893,low
4373,66.462,2.558,low
4374,82.331,2.065,low
4375,81.218,2.093,low
4376,73.731,2.306,low
4377,81.518,2.085,low
4378,78.551,2.164,low
4379,78.551,2.164,low
4380,75.636,2.248,low
4381,82.693,2.056,low
4382,88.334,1.925,low
4383,84.219,2.019,low
4384,88.282,1.926,low
4385,79.392,2.141,low
4386,79.979,2.126,low
4387,79.392,2.141,low
4388,84.139,2.020,low
4389,84.139,2.020,low
4390,86.439,1.967,low
4391,89.802,1.893,low
4392,89.802,1.893,low
4393,62.343,2.727,low
4394,79.979,2.126,low
4395,85.563,1.987,low
4396,85.563,1.987,low
4397,69.725,2.438,low
4398,88.123,1.929,low
4399,84.456,2.013,low
4400,84.456,2.013,low
4401,88.123,1.929,low
4402,77.603,2.191,low
4403,85.214,1.995,low
4404,85.214,1.995,low
4405,79.349,2.142,low
4406,74.510,2.282,low
4407,79.349,2.142,low
4408,85.530,1.988,low
4409,82.198,2.068,low
4410,75.617,2.248,low
4411,83.534,2.035,low
4412,87.362,1.946,low
4413,87.362,1.946,low
4414,70.726,2.404,low
4415,88.426,1.923,low
4416,86.433,1.967,low
4417,64.252,2.646,low
4418,87.231,1.949,low
4419,82.039,2.072,low
4420,87.231,1.949,low
4421,62.576,2.717,low
4422,71.405,2.381,low
4423,74.119,2.294,low
4424,71.280,2.385,low
4425,82.585,2.058,low
4426,84.124,2.021,low
4427,84.062,2.022,low
4428,79.528,2.138,low
4429,87.687,1.939,low
4430,84.465,2.013,low
4431,75.017,2.266,low
4432,86.046,1.976,low
4433,85.755,1.982,low
4434,84.962,2.001,low
4435,83.040,2.047,low
4436,83.002,2.048,low
4437,84.473,2.012,low
4438,70.531,2.410,low
4439,88.674,1.917,low
4440,78.760,2.158,low
4441,87.958,1.933,low
4442,78.760,2.158,low
4443,82.631,2.057,low
4444,82.187,2.068,low
4445,88.519,1.920,low
4446,89.901,1.891,low
4447,88.790,1.915,low
4448,88.819,1.914,low
4449,88.819,1.914,low
4450,80.540,2.111,low
4451,70.007,2.428,low
4452,84.131,2.021,low
4453,86.340,1.969,low
4454,77.650,2.189,low
4455,83.741,2.030,low
4456,81.730,2.080,low
4457,81.730,2.080,low
4458,88.335,1.924,low
4459,88.335,1.924,low
4460,67.171,2.531,low
4461,83.750,2.030,low
4462,80.233,2.119,low
4463,68.689,2.475,low
4464,87.756,1.937,low
4465,74.948,2.268,low
4466,80.087,2.123,low
4467,68.471,2.483,low
4468,82.962,2.049,low
4469,82.962,2.049,low
4470,88.187,1.928,low
4471,86.270,1.971,low
4472,88.101,1.930,low
4473,84.605,2.009,low
4474,76.028,2.236,low
4475,89.423,1.901,low
4476,74.948,2.268,low
4477,82.509,2.060,low
4478,83.761,2.030,low
4479,83.761,2.030,low
4480,69.369,2.451,low
4481,80.682,2.107,low
4482,71.734,2.370,low
4483,83.267,2.042,low
4484,80.869,2.102,low
4485,78.466,2.167,low
4486,88.070,1.930,low
4487,80.951,2.100,low
4488,88.736,1.916,low
4489,88.736,1.916,low
4490,87.132,1.951,low
4491,84.375,2.015,low
4492,89.792,1.893,low
4493,89.792,1.893,low
4494,88.684,1.917,low
4495,87.972,1.932,low
4496,77.917,2.182,low
4497,67.041,2.536,low
4498,89.270,1.904,low
4499,85.874,1.980,low
4500,88.576,1.919,low
4501,66.034,2.574,low
4502,88.564,1.920,low
4503,88.564,1.920,low
4504,37.144,4.577,trans
4505,42.273,4.021,trans
4506,61.496,2.764,low
4507,77.735,2.187,low
4508,65.919,2.579,low
4509,87.068,1.953,low
4510,84.762,2.006,low
4511,88.560,1.920,low
4512,89.221,1.905,low
4513,89.221,1.905,low
4514,86.467,1.966,low
4515,81.370,2.089,low
4516,74.743,2.274,low
4517,89.213,1.906,low
4518,89.213,1.906,low
4519,86.629,1.962,low
4520,86.629,1.962,low
4521,77.646,2.189,low
4522,71.484,2.378,low
4523,68.752,2.473,low
4524,71.484,2.378,low
4525,74.542,2.281,low
4526,84.792,2.005,low
4527,85.083,1.998,low
4528,86.770,1.959,low
4529,86.079,1.975,low
4530,88.768,1.915,low
4531,87.818,1.936,low
4532,86.824,1.958,low
4533,75.431,2.254,low
4534,70.095,2.425,low
4535,80.449,2.113,low
4536,84.544,2.011,low
4537,84.544,2.011,low
4538,88.960,1.911,low
4539,80.140,2.121,low
4540,87.310,1.947,low
4541,82.150,2.069,low
4542,86.304,1.970,low
4543,68.790,2.471,low
4544,84.359,2.015,low
4545,80.467,2.113,low
4546,55.498,3.063,trans
4547,78.937,2.154,low
4548,85.792,1.982,low
4549,75.125,2.263,low
4550,73.601,2.310,low
4551,85.910,1.979,low
4552,88.450,1.922,low
4553,83.649,2.032,low
4554,85.325,1.992,low
4555,71.270,2.385,low
4556,84.923,2.002,low
4557,78.641,2.162,low
4558,86.112,1.974,low
4559,85.518,1.988,low
4560,84.198,2.019,low
4561,75.755,2.244,low
4562,79.416,2.141,low
4563,79.416,2.141,low
4564,80.780,2.104,low
4565,79.178,2.147,low
4566,88.786,1.915,low
4567,79.785,2.131,low
4568,89.867,1.892,low
4569,89.867,1.892,low
4570,85.328,1.992,low
4571,88.863,1.913,low
4572,79.688,2.133,low
4573,73.512,2.313,low
4574,81.570,2.084,low
4575,86.546,1.964,low
4576,86.546,1.964,low
4577,72.917,2.331,low
4578,54.311,3.130,trans
4579,84.994,2.000,low
4580,84.994,2.000,low
4581,83.473,2.037,low
4582,87.220,1.949,low
4583,86.962,1.955,low
4584,78.605,2.163,low
4585,85.704,1.984,low
4586,84.158,2.020,low
4587,89.684,1.896,low
4588,89.684,1.896,low
4589,61.466,2.766,low
4590,68.508,2.481,low
4591,89.237,1.905,low
4592,65.091,2.612,low
4593,76.292,2.228,low
4594,86.515,1.965,low
4595,89.237,1.905,low
4596,76.178,2.232,low
4597,89.392,1.902,low
