exp,nu,noise_rel,tau,rmse_fwd,rmse_bwd,growth_ratio,skill,loss_rate,capacity,z_tau,verdict
exp1,0.0005,0.01,2.3944861188175657,8.755891767234539e-14,6.0502205940887e+22,6.0502205940887e+34,0.0,870.2701169277909,5524,0.37723564710451396,Supported
exp1,0.0005,0.01,2.6316269840244897,9.620087884612171e-14,2.5171043099170724e+25,2.5171043099170724e+37,0.0,905.1481660985764,5524,0.43121150225294974,Supported
exp1,0.0005,0.01,2.8687678492314137,1.0492537782453953e-13,1.053565519683822e+28,1.053565519683822e+40,0.0,942.9059937244925,5524,0.48967748002252376,Supported
exp1,0.0005,0.01,3.1051129397228783,1.1334030332941739e-13,4.3438058999919214e+30,4.3438058999919214e+42,0.0,983.7255188815394,5524,0.552965032189477,Supported
exp1,0.0005,0.01,3.3422538049298023,1.2226039080242572e-13,1.8357727182200798e+33,1.83577271822008e+45,0.0,1028.1720320691772,5524,0.6220875970864617,Supported
exp1,0.0005,0.01,3.578598895421267,1.3096455692790459e-13,7.631202439191023e+35,7.631202439191023e+47,0.0,1076.2729071629149,5524,0.6972391449574661,Supported
exp1,0.0005,0.01,3.815739760628191,1.3964657805489017e-13,3.2475268799120612e+38,3.247526879912061e+50,0.0,1128.8222896970517,5524,0.7797415085952922,Supported
exp1,0.0005,0.01,4.052880625835115,1.482860559696847e-13,1.3855428101401272e+41,1.3855428101401272e+53,0.0,1186.3646139360199,5524,0.8704189281313633,Supported
exp1,0.0005,0.01,4.28922571632658,1.5700276435553428e-13,5.80378354884118e+43,5.80378354884118e+55,0.0,1249.6238222297807,5524,0.9702966390373443,Supported
exp1,0.0005,0.01,4.5263665815335035,1.658450526087051e-13,2.4845024706227763e+46,2.4845024706227764e+58,0.0,1320.2378691582423,5524,1.0818031445751033,Supported
exp1,0.0005,0.01,4.763507446740428,1.7459952338575038e-13,1.0644851306997422e+49,1.0644851306997422e+61,0.0,1399.5533437164904,5524,1.2068759549065837,Supported
